Team,Position,Name,Minutes played,Games played,Yellow Cards,Red Cards,Goals scored,Penalties scored,Own goals,Tackles,Shots,Assists,Passes,Goals_per_Game,Cards_per_Game,Pass_Accuracy_Estimate,Set
Real Sociedad,Defender,Llorente R.,1.755,21,5,0,0,0,1,15,6,0,1.098,0.0,0.23809523809523808,0.0,Train
Real Sociedad,Defender,H.Moreno,1.929,25,2,0,1,0,0,19,4,0,1.192,0.04,0.08,0.0,Test
Real Sociedad,Defender,Aritz,2.253,27,5,0,1,0,0,7,9,0,1.108,0.037037037037037035,0.18518518518518517,0.0,Test
Real Sociedad,Defender,Gorosabel,454.0,7,0,0,0,0,0,1,2,0,210.0,0.0,0.0,0.0,Test
Real Sociedad,Defender,Theo,1.976,24,5,1,1,0,0,5,19,2,909.0,0.041666666666666664,0.2916666666666667,0.0022002200220022,Train
Real Sociedad,Defender,Rodrigues,483.0,7,1,0,0,0,0,3,2,0,181.0,0.0,0.14285714285714285,0.0,Train
Real Sociedad,Defender,Raúl Navas,1.311,16,4,0,0,0,0,9,2,0,864.0,0.0,0.25,0.0,Train
Real Sociedad,Defender,Robin Le Normand,283.0,4,1,0,0,0,0,0,1,1,220.0,0.0,0.25,0.004545454545454545,Train
Real Sociedad,Defender,Aihen Muñoz,954.0,11,0,0,0,0,0,9,1,0,399.0,0.0,0.0,0.0,Train
Real Sociedad,Defender,Alex Sola,90.0,1,0,0,0,0,0,0,2,0,52.0,0.0,0.0,0.0,Train
Real Sociedad,Midfielder,Ander Guevara,90.0,1,0,0,0,0,0,0,3,0,42.0,0.0,0.0,0.0,Train
Real Sociedad,Midfielder,Illarramendi,1.822,23,8,0,1,0,0,9,11,1,1.238,0.043478260869565216,0.34782608695652173,0.8077544426494346,Train
Real Sociedad,Midfielder,Zubeldia,2.551,33,7,0,0,0,0,6,10,1,1.2,0.0,0.21212121212121213,0.8333333333333334,Train
Real Sociedad,Midfielder,Merino,2.06,29,8,1,3,0,0,2,20,3,1.089,0.10344827586206896,0.3448275862068966,2.7548209366391188,Train
Real Sociedad,Midfielder,R. Pardo,1.3730000000000002,24,3,0,1,0,0,6,11,2,805.0,0.041666666666666664,0.125,0.002484472049689441,Train
Real Sociedad,Midfielder,Merquelanz,4.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Sociedad,Midfielder,Zurutuza,1.223,21,2,0,2,0,0,4,9,0,603.0,0.09523809523809523,0.09523809523809523,0.0,Train
Real Sociedad,Midfielder,Sangalli ,999.0,18,0,0,1,0,0,1,10,3,361.0,0.05555555555555555,0.0,0.008310249307479225,Train
Real Sociedad,Midfielder,Roberto López,28.0,1,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,Train
Real Sociedad,Midfielder,Näis Djouahra,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Sociedad,Midfielder,Ander Barrenetxea,398.0,9,0,0,1,0,0,0,3,0,105.0,0.1111111111111111,0.0,0.0,Train
Real Sociedad,Midfielder,Martín Zubimendi,6.0,1,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,Train
Real Sociedad,Midfielder,Zourdine Thior,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Train
Real Sociedad,Forward,Juanmi,1.52,30,3,1,5,0,0,0,35,2,359.0,0.16666666666666666,0.16666666666666666,0.005571030640668524,Train
Real Sociedad,Forward,Oyarzabal,3.159,37,2,0,13,3,1,3,50,2,924.0,0.35135135135135137,0.05405405405405406,0.0021645021645021645,Train
Real Sociedad,Forward,Januzaj,1.252,20,1,0,1,0,0,0,22,3,431.0,0.05,0.05,0.0069605568445475635,Train
Real Sociedad,Forward,Willian J.,2.374,31,5,1,11,5,0,5,46,5,755.0,0.3548387096774194,0.22580645161290322,0.006622516556291391,Test
Real Sociedad,Forward,Bautista,587.0,18,1,0,1,0,0,1,17,0,136.0,0.05555555555555555,0.05555555555555555,0.0,Train
Real Sociedad,Forward,Sandro,1.05,24,4,0,0,0,0,1,33,0,342.0,0.0,0.16666666666666666,0.0,Train
SD Eibar,Goalkeeper,Dmitrović,2.16,24,3,0,0,0,0,0,0,0,692.0,0.0,0.125,0.0,Train
SD Eibar,Goalkeeper,Riesgo,1.26,14,1,0,0,0,0,0,0,0,347.0,0.0,0.07142857142857142,0.0,Train
SD Eibar,Defender,J. Calavera,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Test
SD Eibar,Defender,Bigas,584.0,10,1,0,0,0,0,2,3,1,296.0,0.0,0.1,0.0033783783783783786,Train
SD Eibar,Defender,N. E. Ramis ,1.682,21,4,0,0,0,0,5,13,0,809.0,0.0,0.19047619047619047,0.0,Train
SD Eibar,Defender,Paulo,2.2430000000000003,28,4,0,0,0,1,10,8,0,1.01,0.0,0.14285714285714285,0.0,Train
SD Eibar,Defender,Cote,3.034,35,9,0,1,0,0,5,15,1,1.4880000000000002,0.02857142857142857,0.2571428571428571,0.6720430107526881,Test
SD Eibar,Defender,Cucurella,2.356,31,6,0,1,0,0,3,15,2,848.0,0.03225806451612903,0.1935483870967742,0.0023584905660377358,Train
SD Eibar,Defender,Arbilla,1.95,25,3,1,1,0,0,5,11,2,1.116,0.04,0.2,1.7921146953405016,Train
SD Eibar,Midfielder,Escalante,1.7819999999999998,32,6,0,4,0,0,2,16,1,756.0,0.125,0.1875,0.0013227513227513227,Test
SD Eibar,Midfielder,Sergio A.,1.064,19,1,0,0,0,0,4,2,0,498.0,0.0,0.05263157894736842,0.0,Test
SD Eibar,Midfielder,P. Diop,2.356,28,11,0,1,0,0,1,30,1,1.129,0.03571428571428571,0.39285714285714285,0.8857395925597874,Train
SD Eibar,Midfielder,R. Peña,2.673,31,3,0,1,0,0,9,15,2,1.349,0.03225806451612903,0.0967741935483871,1.4825796886582654,Train
SD Eibar,Midfielder,Orellana,2.738,33,4,0,3,1,0,0,63,5,1.164,0.09090909090909091,0.12121212121212122,4.29553264604811,Train
SD Eibar,Midfielder,De Blasis,1.517,24,3,1,2,0,0,0,10,0,641.0,0.08333333333333333,0.20833333333333334,0.0,Train
SD Eibar,Midfielder,P. León,426.0,9,0,0,1,0,0,0,7,0,122.0,0.1111111111111111,0.0,0.0,Test
SD Eibar,Midfielder,Pere Milla,344.0,5,0,0,0,0,0,1,2,0,114.0,0.0,0.0,0.0,Train
